time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2026-01-23 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-23 09:30:00-05:00,sell,fill,72.0,SPY,stock,,0.0,,688.1500244140625,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-05-01 08:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,,0.0,trade,,,,,,,,,,,,
2026-05-01 08:30:00-04:00,buy_to_close,fill,72.0,SPY,stock,,0.0,,724.3424743652344,stop,1,0.0,0.0,trade,,,,,,,,,,,,
2026-05-01 09:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-05-01 09:30:00-04:00,sell,fill,68.0,SPY,stock,,0.0,,721.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-05-26 08:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,,0.0,trade,,,,,,,,,,,,
2026-05-26 08:30:00-04:00,buy_to_close,fill,68.0,SPY,stock,,0.0,,750.3615051269531,stop,1,0.0,0.0,trade,,,,,,,,,,,,
2026-08-10 09:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-08-10 09:30:00-04:00,buy,fill,62.0,SPY,stock,,0.0,,772.5999755859375,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-08-21 09:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-08-21 09:30:00-04:00,buy,fill,31.0,SPY,stock,,0.0,,766.0499877929688,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-09-09 09:30:00-04:00,sell_to_close,canceled,,SPY,stock,,0.0,,,limit,1,,0.0,trade,,,,,,,,,,,,
2026-09-09 09:30:00-04:00,sell_to_close,canceled,,SPY,stock,,0.0,,,limit,1,,0.0,trade,,,,,,,,,,,,
2026-09-09 09:30:00-04:00,sell_to_close,canceled,,SPY,stock,,0.0,,,stop,1,,0.0,trade,,,,,,,,,,,,
2026-09-09 09:30:00-04:00,buy,canceled,,SPY,stock,,0.0,,,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-09-09 09:30:00-04:00,sell_to_close,canceled,,SPY,stock,,0.0,,,stop,1,,0.0,trade,,,,,,,,,,,,
2026-09-09 09:30:00-04:00,buy,canceled,,SPY,stock,,0.0,,,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-09-09 09:30:00-04:00,sell_to_close,canceled,,SPY,stock,,0.0,,,stop,1,,0.0,trade,,,,,,,,,,,,
2026-09-09 09:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-09-09 09:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-09-09 09:30:00-04:00,sell,canceled,,SPY,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-09-09 09:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,,0.0,trade,,,,,,,,,,,,
2026-09-09 09:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,,0.0,trade,,,,,,,,,,,,
2026-09-09 09:30:00-04:00,sell,fill,93.0,SPY,stock,,0.0,,764.0800170898438,market,1,0.0,0.0,trade,,,,,,,,,,,,
